"releaseid","prdate","headline","prcopy","noteslabel","notestextcopy","photolabel","phototextcopy","keyword1","keyword2","keyword3","keyword4","keyword5","shortdescription","shorttitle"
"3718","10/05/2011 17:27:00","OFFICIAL OPENING OF NEW NAPOLEON GARDEN SCULPTURE","The latest piece of contemporary art to be unveiled in Holland Park is `The Garden of Earthly Delights&#39; by Daniel Pasteiner.  The highly sought after spot in the Napoleon Garden has been used as a springboard for new artists for a number of years.<br /><br />At the unveiling ceremony last Friday (6 May) Councillor Nick Paget-Brown, Cabinet Member for Leisure was joined by the artist and Council officers.<br /><br />Councillor Paget-Brown said: &#34;The Council has been encouraging new artists with the opportunity to show their work in one of the premier sites for contemporary sculpture in London for over a decade.<br /><br />&#34;The Garden of Earthly Delights will attract many visitors and I am sure it will generate a great deal of discussion.  I am delighted that Daniel agreed to have his art shown in the Napoleon Garden.&#34;<br /><br />Daniel Pasteiner has used objects associated with leisure equipment and suburban gardens to give a sculptural interpretation of Hieronymus Bosch&#39;s sixteenth century painting, `The Garden of Earthly Delights&#39;, a painting that has been controversial ever since it was first shown.<br />","NULL","NULL","NULL","NULL","sculpture","cllr Paget-Brown","Napoleon Garden","Daniel pasteiner",,"The latest piece of contemporary art to be unveiled in Holland Park is `The Garden of Earthly Delights&#39; by Daniel Pasteiner.  The highly sought after spot in the Napoleon Garden has been used as a springboard for new artists for a number of years.","Official opening of the new Napoleon Garden Sculpture"
"3720","17/05/2011 14:05:00","HOLLAND PARK BENEFITS FROM PIG SOCIETY","Six British Saddleback pigs have taken up residency in the prestigious Holland Park, using their well-trained snouts to root up and turn over soil in part of the park.<br /><br />Last year a family of pigs were used to help restore the meadow area of the Arboretum, this year the nearby Oak Enclosure will be their home.<br /><br />Councillor Nick Paget-Brown, Cabinet Member for Environment, said: &#34;Last year the pigs were a great success.  Not only did they effectively turn the soil in the Arboretum, but many visitors to the park, particularly children, thoroughly enjoyed seeing them and learning more about how they live.<br /><br />&#34;British Saddleback pigs are an environmentally sustainable way of improving Holland Park, as well as giving many people who otherwise would not see pigs an opportunity to see them in a natural habitat.  I am delighted that the pigs are back and am sure they will do as excellent a job as the pigs last year. In fact, I believe they are a fine example of the Pig Society in action.&#34;<br /><br />British Saddleback pigs were chosen as they are a very docile breed, noted for their mothering capability and are also known for their grazing ability and hardiness.<br /><br />Wildflower meadows are one of our fastest disappearing habitats and over 95 per cent have been lost, which means many of our native wildflowers are in decline.  These meadows support birds and small mammals and are also home to many invertebrates, including butterflies, grasshoppers and bees.<br /><br />The pigs turn over bulbs which may reduce next year&#39;s flowers. But in the long term the bulbs will benefit from the disturbance and being `chipped&#39; (or split); consequently they are likely to flower more vigorously in following seasons. <br /> <br />The pigs, from Charton Manor Farm in Kent, made the journey up to Holland Park on Friday 13 May and will remain in the park for approximately two months.<br />","NULL","NULL","NULL","NULL","pigs","Holland Park","Environment","Ecology","Wildlife","Six British Saddleback pigs have taken up residency in the prestigious Holland Park, using their well-trained snouts to root up and turn over soil in part of the park.","Holland Park benefits from Pig Society"
"3723","18/05/2011 13:07:00","SEASIDE BREAK FROM CARNIVAL","Once again, 40 elderly residents will be given the opportunity to enjoy a break away from the hustle and bustle of Notting Hill Carnival, as part of a scheme run by the Royal Borough of Kensington and Chelsea. <br /><br />The scheme, now in its eighth year, is aimed at older people living directly on the Carnival route, who may find the exuberance of the weekend too much. <br /><br />Residents will be driven to the Glastonbury Hotel in Eastbourne on Saturday 27 August and will return to their homes on Tuesday 30 August, once the Council has had time to clear up and the area is quieter.<br /><br />Cllr Sir Merrick Cockell, Leader of the Council, said: &#34;Although the Carnival is an exciting event, we do sympathise with older residents for whom large crowds and loud noise make the weekend a difficult time. Due to the success of previous trips, we have decided to run the scheme again to offer another group of elderly people a break away from the clamour of the Carnival.&#34; <br /><br />All applications will be assessed by Adult Social Care Services and those who have not gone before will be given priority over those who have. <br /><br />Elderly residents can contact the Council for more information on 020 7361 3175. The closing date to apply for a place is Friday 10 June 2011. <br /><br />","NULL","NULL","NULL","NULL","Notting Hill Carnival","Elderly residents","social care","carnival","break Free","Once again, 40 elderly residents will be given the opportunity to enjoy a break away from the hustle and bustle of Notting Hill Carnival, as part of a scheme run by the Royal Borough of Kensington and Chelsea. ","Seaside break from Carnival"
"3724","18/05/2011 13:42:00","CALL FOR BOROUGH'S BEST TO CARRY OLYMPIC TORCH","The search is on for torchbearers following the announcement that the Olympic Torch will be carried through the borough&#39;s streets in the final week before the Games begin.<br /><br />The London Organising Committee of the Olympic and Paralympic Games (LOCOG)  is today (Wednesday 18 May) asking the public to nominate inspirational people from across the capital as torchbearers to give them their moment to shine and have their story celebrated in the run up to the start of the London 2012 Olympic Games.<br /><br />Running for six weeks from today, the LOCOG Torchbearer Programme to find 2,012 inspirational people who have gone beyond their personal best will see nominations judged by local panels set up throughout the UK, including one for London.<br /><br />Go to www.london2012.com/olympictorchrelay to make your nomination. The deadline for nominations is 11.59pm on Wednesday 29 June 2011.<br /><br />Sebastian Coe, Chair of LOCOG said: ``The Olympic Flame will shine a light right across the host city in the final week of the Olympic Torch Relay and I hope people right across London start to think about rewarding someone truly inspirational and give someone they know who has gone beyond their personal best, their moment to shine by nominating them to carry the Olympic Flame.&#39;<br /><br />Young people in particular from across the capital are encouraged to get involved, with half of the total number of torchbearer places expected to go to people aged between 12 and 24 years of age who are considered leading lights in their local communities. <br /><br />Councillor Sir Merrick Cockell, Leader of the Royal Borough of Kensington and Chelsea, said: &#34;I know we have many inspirational people, young and old in the borough, and would urge our residents to take time and nominate someone who has a special story to tell, has sporting talent or has made a real contribution to the life of the community to take part in this historic event. <br /><br />&#34;Of course we are already very proud to be hosting not only the Olympic volleyball competition but also the cycle road races and I am delighted that the Olympic Torch relay will provide an opportunity to celebrate the achievements of our residents.&#34;<br />","NULL","NULL","NULL","NULL","olympic torch","cllr cockell",,,,"The search is on for torchbearers following the announcement that the Olympic Torch will be carried through the borough&#39;s streets in the final week before the Games begin.","Call for borough&#39;s best to carry the Olympic Torch"
"3725","18/05/2011 14:30:00","A DAY OUT WITH YOUR DOG","The Council&#39;s Parks Police will be giving advice to dog owners at an event on Wednesday 25 May, from 9am in Holland Park, opposite the café area.<br /><br />Owners can test their dogs&#39; agility with jumps and tunnels and there will be a free micro-chipping service. Staff from the Dogs Trust will also be offering advice and support about responsible dog behaviour and training. <br /><br />The Parks Police will be on hand to answer any questions about animals in the borough&#39;s parks as well as policing of open spaces.<br /><br />For more information please contact the Parks Police on 020 7938 8190 or visit www.rbkc.gov.uk/leisureandlibraries/parksandgardens<br />","NULL","NULL","NULL","NULL","Parks Police","Holland Park","dogs","Free",,"The Council&#39;s Parks Police will be giving advice to dog owners at an event on Wednesday 25 May, from 9am in Holland Park, opposite the café area.","A day out with your dog"
"3730","25/05/2011 15:16:00","DEPUTY YOUTH MP ELECTED BY BOROUGH'S YOUNG PEOPLE","Kensington and Chelsea&#39;s new Deputy Member of Youth Parliament (MYP) has been announced. Lily Barrow, 14, from Holland Park School was elected in a poll of young people from the borough&#39;s youth centres.<br /><br />Lily will work alongside the current MYP, Nathan Akehurst, 18, from Holland Park School, for one year. A new deputy will be chosen at the next election and Lily will take Nathan&#39;s place as MYP. This means each young person will get one year&#39;s experience before becoming the MYP.<br /><br />Councillor Baroness Ritchie, Cabinet Member for Family and Children&#39;s Services, said: &#34;I&#39;m always very pleased when young people get involved in the community and even more so when they stand up and represent their peers. I am sure that Lily will learn a lot as deputy and I wish her and Nathan all the best in the coming year.&#34;<br /><br />Nathan Akehurst, MYP for Kensington and Chelsea, said: &#34;Congratulations to Lily on her election. I&#39;m looking forward to working with her this year and hope that we&#39;ll both be able to make a difference for all the young people who live and go to school in Kensington and Chelsea.&#34;<br /><br />Nathan and Lily can be contacted on ukyp@rbkc.gov.uk or 020 7938 8021.<br />Visit www.kccentral.rbkc.gov.uk/myp for more information.<br /><br />","NULL","NULL","NULL","NULL","Youth MP","young people","Holland Park School","cllr Ritchie","Election ","Kensington and Chelsea&#39;s new Deputy Member of Youth Parliament (MYP) has been announced. Lily Barrow, 14, from Holland Park School was elected in a poll of young people from the borough&#39;s youth centres.","Deputy Youth MP elected by borough&#39;s young people"
"3733","31/05/2011 11:42:00","CHELSEA RESIDENTS LEAD THE CHARGE FOR LOCAL PLANNING POWERS","Residents in an historic part of Chelsea have won the first stage of their bid to take greater control of local planning decisions, the Government announced last week.<br /><br />The announcement also comes with a £20,000 grant to the Council to help the residents complete the next stages of the process.<br /><br />The Council, in partnership with the Chelsea Society and Markham Square Association (MSA), submitted a bid to become a &#34;neighbourhood planning vanguard&#34; back in February.  The Government is choosing a number of vanguard areas around the country, Chelsea amongst them, to pilot radical new planning powers for local neighbourhoods contained in the localism bill currently before Parliament.  <br /><br />The next step will be to develop a neighbourhood plan to address the planning challenges facing the part of Chelsea identified in the bid.  That plan, if approved by the Secretary of State, would then become a statutory document against which future planning applications would be judged.<br /><br />Many residents and developers would like to extend their properties and the neighbourhood plan will look at whether, and how, this might be achieved without harming the character of the area or residents&#39; living conditions. <br /><br />Council officers will provide the Chelsea Society and MSA with ongoing professional support and it is hoped a draft neighbourhood development plan can be prepared during 2011 for submission to the Secretary of State in 2012.<br />  <br />The Chelsea vanguard area is bound by, but does not include Draycott Avenue to the east, Sydney Street to the west, Redburn Street to the south and Pelham Street and Onslow Place to the north.  The area is noted for its nineteenth century architecture and high density, high quality homes which command some of the world&#39;s highest property prices.<br /><br />Councillor Rock Feilding-Mellen, the Royal Borough of Kensington and Chelsea&#39;s Cabinet Member for Civil Society, said: &#34;Nothing animates local politics quite like planning issues. With this initiative we will give our residents a real say in the future of their area.  That&#39;s what localism is all about and we hope Chelsea will become a model for how localism might work elsewhere.&#34;<br /><br />","NULL","NULL","NULL","NULL","cllr Feilding-Mellen","planning","vanguard","Markham square association",,"Residents in an historic part of Chelsea have won the first stage of their bid to take greater control of local planning decisions, the Government announced last week.","Chelsea residents lead the charge for local planning powers"
"3737","01/06/2011 14:55:00","DOES ANTISOCIAL BEHAVIOUR AFFECT YOUR COMMUNITY?","Take an active role in tackling antisocial behaviour in your area and attend the Community Police Engagement Group (CPEG) meeting on Thursday 23 June.<br /><br />The meeting and panel discussion will include representatives from the Council, police, CALM mediation services, Tenant Management Organisation, Octavia Housing and the Notting Hill Housing Trust. Taking place on Thursday 23 June at the London Lighthouse West, 111-117 Lancaster Road, W11 1QT, from 6pm.<br /><br />The new Borough Commander, Jason Gwillim, will give an update on policing and answer questions along with Sector Inspector for North Kensington, Dave Morgan. <br /><br />Light refreshments will be available.<br /><br />For more information contact CPEG Administrator on 020 7361 2254 or email cpeg@rbkc.gov.uk<br /><br /><br /><br />","NULL","NULL","NULL","NULL","Police","public meeting","antisocial behaviour","Tmo","Borough ","Take an active role in tackling antisocial behaviour in your area and attend the Community Police Engagement Group (CPEG) meeting on Thursday 23 June.","Does antisocial behaviour affect your community?"
"3739","02/06/2011 17:35:00","MAJOR ROADWORKS ON KENSINGTON ROAD FROM 4 JULY","Major roadworks on Kensington Road will cause disruption from Monday 4 July until Friday 16 September.<br /><br />The works, which will take place at the former site of the Kensington Palace Thistle Hotel, involve erecting a large gantry over the westbound carriageway of Kensington Road. <br /><br />A two-week break in the work is proposed between Saturday 30 July 2011 and Monday 15 August 2011 to ensure the road is restored to its full capacity to allow the Olympic Cycle and Triathlon test events to take place. <br /><br />By asking that the works take place during the summer months the Council hopes to minimise disruption. <br /><br />For a large part of the works eastbound and westbound traffic will be reduced to one lane in either direction. This will have a significant effect on traffic travelling along Kensington Road, as well as access to and from De Vere Gardens and Victoria Road. Local diversions will be in place where appropriate. After the gantry has been erected westbound traffic (including high vehicles) will be able to pass under the gantry in two lanes of traffic. Eastbound traffic will also be restored to two lanes. <br /><br />The developer has already been in contact with local residents associations to discuss these works and will also be carrying out an extensive letter drop in the area. More information will be published on their website and advance road signs will be placed at strategic points two weeks prior to the works commencing to warn road users to expect delays in the area.<br /><br /><br />","NULL","NULL","NULL","NULL","Kensington road","thistle hotel","roadworks",,,"Major roadworks on Kensington Road will cause disruption from Monday 4 July until Friday 16 September.","Major roadworks on Kensington Road from 4 July"
"3740","02/06/2011 17:44:00","RESIDENTS GIVE MARKETS THUMBS UP","Nearly three quarters of residents who responded to a Council survey had visited a  market in the past six months and Portobello Market was their favourite.<br /><br />The survey, which was conducted with members of the borough&#39;s Residents Panel, also revealed that nearly forty per cent of residents surveyed visited a market once a week or more often.  Fruit and vegetables and other fresh produce were named as the main reason for visiting the markets.<br /><br />Portobello wasn&#39;t the only market to be singled out. Golborne Road Market and Partridges Food Market on Duke of York Square were also cited as good places to shop.<br /><br />Councillor Nick Paget-Brown, Cabinet Member for Environment, said: &#34;We have some world famous markets in the borough and I am very pleased to see that residents use them regularly.  It is no surprise that Portobello Market is so popular but it is worth pointing out that we have many other wonderful markets like Golborne, which are well worth a visit.&#34;<br /><br />Most residents surveyed said that the internet was their favoured way of finding information about shopping in the borough, closely followed by local newspapers and leaflets and flyers.<br /><br />For more details about the survey please go to www.rbkc.gov.uk/consultation <br /><br /><br /><br />","NULL","NULL","NULL","NULL","Residents Panel Survey","survey","Markets ","Cllr Nicholas Paget Brown",,"Nearly three quarters of residents who responded to a Council survey had visited a  market in the past six months and Portobello Market was their favourite.","Residents give markets thumbs up"
